"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"HB_46",99,0.676767676767677,0.470090803826778,1,0.716049382716049,1,-0.744461041376137,-1.46022241866882,0.0472459034451512,-0.738956716591239,96.4318436312328,97,0.497191633345949,0.983998404400335,0.958682953797354,-0.0968588548541584,-0.41366286419364
"HB_53a2",98,0.0918367346938776,0.290280159514536,0,0,1,2.78350635264314,5.80747891146063,0.029322724176663,2.29141179239592,108.140048009854,96,0.186905891437104,1.11484585577169,0.982850543715665,0.42730281472533,0.0204077826162798
"HB_53b",100,0.03,0.171446607997765,0,0,1,5.42792890957708,27.740112371134,0.0171446607997765,3.47609868983527,84.2557880163584,96,0.79847328932606,0.868616371302663,0.916277685936246,-0.0000593747423933144,0.000844460319040452
"HB_54a2",100,0.03,0.171446607997765,0,0,1,5.42792890957708,27.740112371134,0.0171446607997765,3.47609868983527,45.859766386699,97,0.999997773411486,0.467956799864276,0.864937250303268,-0.837567124307204,-0.104151083492618
"HB_59a",100,0.36,0.482418151324422,0,0.325,1,0.574605244929073,-1.68639375,0.0482418151324422,0.575364144903562,123.004469497114,99,0.0514159062036733,1.23004469497114,1.05749597499865,2.01315910638877,0.770448504327014
"HB_59b",100,0.75,0.435194139889245,1,0.8125,1,-1.13742340401453,-0.7131,0.0435194139889245,-1.09861228866811,107.580453419981,99,0.261061018125842,1.07580453419981,1.07871242777157,0.545058628450522,0.688173401467121
"HB_60",99,0.282828282828283,0.452665665702851,0,0.234567901234568,1,0.949831541250724,-1.10871411511616,0.045494611170085,0.930475366866112,105.069268967282,95,0.225377842156588,1.09447155174252,1.08087697021304,0.669674361127399,0.852739329435139
"HB_6a",98,0.224489795918367,0.4193911208716,0,0.1625,1,1.30045135386661,-0.311695535552373,0.0423649007911051,1.23969088692802,104.52549400044,96,0.259223726253271,1.07758241237567,1.00376708283728,0.452460546435503,0.0718853625579842
"II_12b",38,0.105263157894737,0.311011747775905,0,0.03125,1,2.47160458226711,4.22199364510347,0.0504527677125696,2.14006616349627,29.495251504505,36,0.769871167860992,0.797168959581215,0.903637332129437,-0.317813128256871,-0.132908931400594
"LF_13b",35,0.0285714285714286,0.169030850945703,0,0,1,5.41864613603083,28.1689795918367,0.0285714285714286,3.52636052461616,11.4466243031122,25,0.990486430843584,0.440254780888931,0.970774359539272,0.110133923123084,0.157116764825184
